ID,RequirementText,Functional (F),Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US)
1,The system shall refresh the display every 60 seconds.,,,,,,,,,,,,
2,The system shall provide a history report of changes made to the Activity or Event data,,,,,,,,,,,,
3,The system shall provide charts for the Activity or Event actual versus assumed time.,,,,,,,,,,,,
4,The system shall offer the ability to pause and resume the refresh of data.,,,,,,,,,,,,
5,The system shall display the local and exercise time in separate clocks,,,,,,,,,,,,
6,The system shall filter data by: Venues and Key Events.,,,,,,,,,,,,
7,The system shall offer a display of all the Events in the exercise.,,,,,,,,,,,,
8,The system shall allow modification of the display.,,,,,,,,,,,,
9,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,,,,,,,,,,,,
10,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,,,,,,,,,,,,
11,The system shall color code events according to their variance from current time.,,,,,,,,,,,,
12,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,,,,,,,,,,,,
13,The top 1/4 of the table will hold events that are to occur sequentially.,,,,,,,,,,,,
14,The table side of the display shall be split into 2 regions: sequential and temporal.,,,,,,,,,,,,
15,The system shall allow a user to define the time segments,,,,,,,,,,,,
16,The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,,,,,,,,,,,,
17,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,,,,,,,,,,,,
18,The application shall match the color of the schema set forth by Department of Homeland Security,,,,,,,,,,,,
19,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,,,,,,,,,,,,
20,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,,,,,,,,,,,,
21,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,,,,,,,,,,,,
22,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,,,,,,,,,,,,
23,The product shall respond fast to keep up-to-date data in the display.,,,,,,,,,,,,
24,The system shall have a MDI form that allows for the viewing of the graph and the data table.,,,,,,,,,,,,
25,The system shall display Events in a vertical table by time.,,,,,,,,,,,,
26,The system shall display the Events in a graph by time.,,,,,,,,,,,,
27,The system shall display Events or Activities.,,,,,,,,,,,,
28,The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,,,,,,,,,,,,
29,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,,,,,,,,,,,,
30,The system shall allow a real estate agent to query MLS information,,,,,,,,,,,,
31,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,,,,,,,,,,,,
32,90% of untrained realtors shall be able to install the product on their device without printed instructions,,,,,,,,,,,,
33,Only registered realtors shall be able to access the system.,,,,,,,,,,,,
34,Every user of the system shall be authenticated and authorized.,,,,,,,,,,,,
35,The product shall prevent its data from incorrect data being introduced.,,,,,,,,,,,,
36,The user shall be able to get driving directions to a selected property,,,,,,,,,,,,
37,The realtor shall be able to retrieve a map showing property locations for a specified area,,,,,,,,,,,,
38,The system shall display clear property images in the search results,,,,,,,,,,,,
39,The system shall update or create new property listings in the MLS,,,,,,,,,,,,
40,Realtor shall be able to generate a CMA report based on property criteria,,,,,,,,,,,,
41,The system shall be able to call the seller or buyer to schedule an appointment,,,,,,,,,,,,
42,The realtor shall be notified of new client appointments after automatic synchronization with office system,,,,,,,,,,,,
43,The system shall notify the realtor when a seller or buyer responds to an appointment request,,,,,,,,,,,,
44,The product shall allow the user to save the property search results.,,,,,,,,,,,,
45,The product shall be able support 1000 simultaneous users.,,,,,,,,,,,,
46,The user shall be able to download appointments and contact information for clients,,,,,,,,,,,,
47,The product shall be able to support multiple remote users,,,,,,,,,,,,
48,The product is expected to run on Windows CE and Palm operating systems.,,,,,,,,,,,,
49,The product shall retain user preferences in the event of a failure.,,,,,,,,,,,,
50,100% of saved user preferences shall be restored when system comes back online.,,,,,,,,,,,,
51,The look and feel of the system shall conform to the user interface standards of the smart device.,,,,,,,,,,,,
52,The system shall have a professional appearance,,,,,,,,,,,,
53,The product shall have a consistent color scheme and fonts.,,,,,,,,,,,,
54,The system shall be used by realtors with no training.,,,,,,,,,,,,
55,The system shall be intuitive and self explanatory.,,,,,,,,,,,,
56,The product shall be easy for a realtor to learn.,,,,,,,,,,,,
57,The product shall use symbols and words that are naturally understandable by the realtor community.,,,,,,,,,,,,
58,The product shall produce search results in an acceptable time,,,,,,,,,,,,
59,The user interface shall have standard menus buttons for navigation,,,,,,,,,,,,
60,The product shall generate a CMA report in an acceptable time.,,,,,,,,,,,,
61,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,,,,,,,,,,,,
62,The product shall synchronize contacts and appointments in an acceptable time.,,,,,,,,,,,,
63,The product shall synchronize with the office system every hour.,,,,,,,,,,,,
64,The product shall be available for use 24 hours per day 365 days per year,,,,,,,,,,,,
65,Out of 1000 accesses to the system the system is available 999 times.,,,,,,,,,,,,
66,The product shall operate in offline mode whenever internet connection is unavailable.,,,,,,,,,,,,
67,The search results shall be returned no later 30 seconds after the user has entered the search criteria,,,,,,,,,,,,
68,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,,,,,,,,,,,,
69,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,,,,,,,,,,,,
70,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,,,,,,,,,,,,
71,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,,,,,,,,,,,,
72,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,,,,,,,,,,,,
73,Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.,,,,,,,,,,,,
74,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,,,,,,,,,,,,
75,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,,,,,,,,,,,,
76,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,,,,,,,,,,,,
77,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,,,,,,,,,,,,
78,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,,,,,,,,,,,,
79,A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,,,,,,,,,,,,
80,A non-clinical class shall specify the course name lecture room requirements and instructor needs.,,,,,,,,,,,,
81,A class shall be either a non-clinical class or a clinical class.,,,,,,,,,,,,
82,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,,,,,,,,,,,,
83,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,,,,,,,,,,,,
84,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.,,,,,,,,,,,,
85,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members92 planning purposes.,,,,,,,,,,,,
86,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,,,,,,,,,,,,
87,The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,,,,,,,,,,,,
88,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,,,,,,,,,,,,
89,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,,,,,,,,,,,,
90,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,,,,,,,,,,,,
91,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,,,,,,,,,,,,
92,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.,,,,,,,,,,,,
93,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.,,,,,,,,,,,,
94,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,,,,,,,,,,,,
95,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student92s status from full time to part time and moving a student to a different clinical section.,,,,,,,,,,,,
96,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort92s program of study and changes to a given week92s schedule (lab cancelled this week due to instructor illness).,,,,,,,,,,,,
97,The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,,,,,,,,,,,,
98,The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,,,,,,,,,,,,
99,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,,,,,,,,,,,,
100,The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.,,,,,,,,,,,,
101,The system shall be able to display a printable summary of the system log.,,,,,,,,,,,,
102,The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,,,,,,,,,,,,
103,The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,,,,,,,,,,,,
104,The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).,,,,,,,,,,,,
105,The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.,,,,,,,,,,,,
106,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,,,,,,,,,,,,
107,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,,,,,,,,,,,,
108,The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.,,,,,,,,,,,,
109,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,,,,,,,,,,,,
110,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,,,,,,,,,,,,
111,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,,,,,,,,,,,,
112,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,,,,,,,,,,,,
113,The system shall cater to 10 simultaneous users from 9am to 5pm.,,,,,,,,,,,,
114,system shall be able to handle all of the user requests/usage during business hours.,,,,,,,,,,,,
115,The system shall achieve 95% up time.,,,,,,,,,,,,
116,The system shall be available for use between the hours of 8am and 6pm.,,,,,,,,,,,,
117,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,,,,,,,,,,,,
118,Staff members shall be able to complete a set of tasks in a timely manner.,,,,,,,,,,,,
119,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,,,,,,,,,,,,
120,For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,,,,,,,,,,,,
121,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,,,,,,,,,,,,
122,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,,,,,,,,,,,,
123,The number of mistakes noted by the students shall be decreased by 50% in the first year.,,,,,,,,,,,,
124,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,,,,,,,,,,,,
125,All of the users shall be able to use the system after one day of training.,,,,,,,,,,,,
126,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,,,,,,,,,,,,
127,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,,,,,,,,,,,,
128,The system shall operate within the Windows XP Professional operating system.,,,,,,,,,,,,
129,The system shall use symbols and words that are naturally understandable by the user community.,,,,,,,,,,,,
130,The system shall interface with the faculty central server.,,,,,,,,,,,,
131,The system shall interface with CampusConnect92s central server,,,,,,,,,,,,
132,Students added to a cohort shall be eligible for the cohort92s Program of Study.,,,,,,,,,,,,
133,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,,,,,,,,,,,,
134,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,,,,,,,,,,,,
135,The system shall use the organization92s standard virus protection software to help monitor threats to itself.,,,,,,,,,,,,
136,The system shall be built such that it is as secure as possible from malicious interference.,,,,,,,,,,,,
137,The system shall protect private information in accordance with the organization92s information policy.,,,,,,,,,,,,
138,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,,,,,,,,,,,,
139,A cohort shall be associated to one Program of Study offered by the department.,,,,,,,,,,,,
140,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,,,,,,,,,,,,
141,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students92 personal information.,,,,,,,,,,,,
142,Only authorized users shall have access to students92 personal information.,,,,,,,,,,,,
143,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,,,,,,,,,,,,
144,Only authorized users shall have access to clinical site information.,,,,,,,,,,,,
145,We must be able to interface with any HTML browser.,,,,,,,,,,,,
146,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,,,,,,,,,,,,
147,The system shall interface with the student master server.,,,,,,,,,,,,
148,All actions that modify an existing dispute case must be recorded in the case history.,,,,,,,,,,,,
149,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,,,,,,,,,,,,
150,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,,,,,,,,,,,,
151,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,,,,,,,,,,,,
152,The Disputes System shall provide update access capability for authorized users of the application.,,,,,,,,,,,,
153,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,,,,,,,,,,,,
154,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,,,,,,,,,,,,
155,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,,,,,,,,,,,,
156,The Disputes System must be accessible by both internal and external users.,,,,,,,,,,,,
157,The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,,,,,,,,,,,,
158,The Disputes System shall provide view access capability for authorized users of the application.,,,,,,,,,,,,
159,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,,,,,,,,,,,,
160,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,,,,,,,,,,,,
161,The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,,,,,,,,,,,,
162,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,,,,,,,,,,,,
163,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,,,,,,,,,,,,
164,The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,,,,,,,,,,,,
165,The Disputes System must provide the ability to view existing dispute cases.,,,,,,,,,,,,
166,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,,,,,,,,,,,,
167,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,,,,,,,,,,,,
