ID,RequirementText,Functional (F),Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),AI_Model,AI_Confidence,AI_Rationale
1,The system shall refresh the display every 60 seconds.,1,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.9,"Specifies a system behavior (periodic refresh) — functional. Also imposes a timing/performance constraint (every 60 seconds), so Performance applies. No indication of other quality attributes."
2,The system shall provide a history report of changes made to the Activity or Event data,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,This is a functional requirement specifying a capability (provide a history report of changes). No non-functional quality attributes are mentioned.
3,The system shall provide charts for the Activity or Event actual versus assumed time.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies a functional capability (providing charts of actual vs assumed time). No availability, security, performance, usability, or other quality constraints are mentioned."
4,The system shall offer the ability to pause and resume the refresh of data.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a capability the system must provide (pause/resume data refresh), which is a functional behavior. It does not mention availability, performance, security, usability, or other quality attributes."
5,The system shall display the local and exercise time in separate clocks,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"Requirement specifies a display behavior (show local and exercise time in separate clocks), which is a functional requirement. No quality attributes (performance, usability, security, etc.) are implied."
6,The system shall filter data by: Venues and Key Events.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies a functional capability (filtering data by Venues and Key Events). No quality/constraint (availability, performance, security, usability, etc.) is mentioned."
7,The system shall offer a display of all the Events in the exercise.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies a functional requirement to display all Events in the exercise; no quality attributes (availability, performance, usability, etc.) are mentioned."
8,The system shall allow modification of the display.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system capability (allow modification of the display), which is a functional behavior. It does not mention quality attributes like availability, performance, security, usability, or look-and-feel details."
9,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,1,0,0,0,0,1,0,0,1,0,0,0,gpt-5-mini,0.9,"Requirement specifies a functional capability (linking Events to external applications) and implies maintainability (integration for modifications) and portability/compatibility with specific external applications. It does not address availability, performance, security, usability, scalability, legal, fault tolerance, or look-and-feel."
10,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,1,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Requirement specifies a display function (functional). It also relates to how data is presented, so Look & Feel is implied. No explicit availability, performance, security, portability, or other quality constraints are stated."
11,The system shall color code events according to their variance from current time.,1,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.86,This requirement specifies a functional behavior (color-coding events) and concerns presentation/look-and-feel (visual coding based on time variance). No other quality attributes are implied.
12,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,1,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.89,"Specifies what the table should do (place events in bottom 3/4 based on relevance) — functional. Also describes visual/layout placement of content (look & feel). No indication of performance, security, availability, etc."
13,The top 1/4 of the table will hold events that are to occur sequentially.,1,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies what the UI should do (place events sequentially in top quarter) and concerns the table's layout/visual partitioning, so it's functional and look & feel."
14,The table side of the display shall be split into 2 regions: sequential and temporal.,0,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies visual layout of the display (how the table side is split into regions), which is a look-and-feel / UI presentation requirement."
15,The system shall allow a user to define the time segments,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"The requirement specifies a system capability (allow user to define time segments), which is functional. It does not mention availability, performance, security, usability, or other non-functional aspects."
16,The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,0,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.91,"Specifies visual layout of the display regions (proportion and content placement), which is a Look & Feel requirement rather than functionality or other quality attributes."
17,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"Specifies what data/content must be shown in the graph nodes and table rows (functional content requirement). Does not mention availability, performance, security, UI styling, or other quality attributes."
18,The application shall match the color of the schema set forth by Department of Homeland Security,0,0,0,1,1,0,0,0,0,0,0,0,gpt-5-mini,0.88,"Specifies compliance with DHS color schema (legal/standards requirement) and directly concerns the visual appearance of the UI (look & feel). No functional, performance, security, or other quality attributes are implied."
19,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.92,"Requirement specifies visual readability on a projection screen and refers to viewer ability to read data at a given distance and percentage of viewers. This concerns look-and-feel (visual presentation) and usability (readability/legibility for users). No indication of functional behavior, performance, security, etc."
20,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.88,"Requirement concerns how projected data should be presented and perceived (readability/clarity at a distance), which pertains to look-and-feel and usability. No functional behavior or other quality attributes are specified."
21,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.88,"Requirement specifies that only authorized users may access the product and the system must distinguish authorized vs unauthorized on all access attempts — this is primarily a security requirement (authentication/authorization). It also implies a functional behavior (enforcing access control), so both SE and F are set."
22,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,0,1,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Requirement specifies system availability percentage and timeframe (99% during first six months / available during business hours), which is an Availability non-functional requirement. It does not explicitly address fault tolerance, performance, security, or other categories."
23,The product shall respond fast to keep up-to-date data in the display.,0,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.9,"The requirement explicitly concerns responsiveness and keeping display data up-to-date, which is a performance (latency/response time) concern. It does not address functionality, availability, scalability, security, usability, or other listed qualities."
24,The system shall have a MDI form that allows for the viewing of the graph and the data table.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a functional capability (an MDI form for viewing graph and data table). It does not state availability, performance, security, look-and-feel details, or other non-functional qualities."
25,The system shall display Events in a vertical table by time.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a functional behavior (display Events in a vertical table by time). It does not state availability, performance, UI aesthetics beyond basic layout, or other non-functional concerns."
26,The system shall display the Events in a graph by time.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system behavior (display events in a time-based graph), which is a functional requirement. It does not mention quality attributes like performance, usability, security, etc."
27,The system shall display Events or Activities.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"This is a functional requirement specifying that the system shall display Events or Activities. It does not mention availability, performance, usability, security, or other non-functional aspects."
28,The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.92,"The requirement specifies intuitiveness and a measurable usability goal (90% of new users can start Events/Activities within 90 minutes), which is a clear usability (user experience/learnability) requirement. It does not describe functional behavior, performance, security, or other quality attributes."
29,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,0,0,0,0,0,0,0,1,0,1,0,0,gpt-5-mini,0.88,Specifies capacity for current and anticipated user growth (scalability). Also implies performance/throughput requirements to handle that load.
30,The system shall allow a real estate agent to query MLS information,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"This requirement specifies a system capability (allowing a real estate agent to query MLS information), which is functional behavior. It does not mention availability, performance, security, or other non-functional aspects."
31,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Specifies ease of use/installability by an untrained realtor without printed instructions, which is a usability requirement."
