F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,confidence,rationale,row_id,model,error
True,False,False,False,False,False,False,True,False,False,False,False,0.9,"Specifies a system behavior (periodic refresh) — functional. Also imposes a timing/performance constraint (every 60 seconds), so Performance applies. No indication of other quality attributes.",0,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,This is a functional requirement specifying a capability (provide a history report of changes). No non-functional quality attributes are mentioned.,1,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies a functional capability (providing charts of actual vs assumed time). No availability, security, performance, usability, or other quality constraints are mentioned.",2,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a capability the system must provide (pause/resume data refresh), which is a functional behavior. It does not mention availability, performance, security, usability, or other quality attributes.",3,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"Requirement specifies a display behavior (show local and exercise time in separate clocks), which is a functional requirement. No quality attributes (performance, usability, security, etc.) are implied.",4,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies a functional capability (filtering data by Venues and Key Events). No quality/constraint (availability, performance, security, usability, etc.) is mentioned.",5,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies a functional requirement to display all Events in the exercise; no quality attributes (availability, performance, usability, etc.) are mentioned.",6,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a system capability (allow modification of the display), which is a functional behavior. It does not mention quality attributes like availability, performance, security, usability, or look-and-feel details.",7,gpt-5-mini,
True,False,False,False,False,True,False,False,True,False,False,False,0.9,"Requirement specifies a functional capability (linking Events to external applications) and implies maintainability (integration for modifications) and portability/compatibility with specific external applications. It does not address availability, performance, security, usability, scalability, legal, fault tolerance, or look-and-feel.",8,gpt-5-mini,
True,False,False,False,True,False,False,False,False,False,False,False,0.9,"Requirement specifies a display function (functional). It also relates to how data is presented, so Look & Feel is implied. No explicit availability, performance, security, portability, or other quality constraints are stated.",9,gpt-5-mini,
True,False,False,False,True,False,False,False,False,False,False,False,0.86,This requirement specifies a functional behavior (color-coding events) and concerns presentation/look-and-feel (visual coding based on time variance). No other quality attributes are implied.,10,gpt-5-mini,
True,False,False,False,True,False,False,False,False,False,False,False,0.89,"Specifies what the table should do (place events in bottom 3/4 based on relevance) — functional. Also describes visual/layout placement of content (look & feel). No indication of performance, security, availability, etc.",11,gpt-5-mini,
True,False,False,False,True,False,False,False,False,False,False,False,0.9,"Specifies what the UI should do (place events sequentially in top quarter) and concerns the table's layout/visual partitioning, so it's functional and look & feel.",12,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,False,0.9,"Specifies visual layout of the display (how the table side is split into regions), which is a look-and-feel / UI presentation requirement.",13,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"The requirement specifies a system capability (allow user to define time segments), which is functional. It does not mention availability, performance, security, usability, or other non-functional aspects.",14,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,False,0.91,"Specifies visual layout of the display regions (proportion and content placement), which is a Look & Feel requirement rather than functionality or other quality attributes.",15,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"Specifies what data/content must be shown in the graph nodes and table rows (functional content requirement). Does not mention availability, performance, security, UI styling, or other quality attributes.",16,gpt-5-mini,
False,False,False,True,True,False,False,False,False,False,False,False,0.88,"Specifies compliance with DHS color schema (legal/standards requirement) and directly concerns the visual appearance of the UI (look & feel). No functional, performance, security, or other quality attributes are implied.",17,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,True,0.92,"Requirement specifies visual readability on a projection screen and refers to viewer ability to read data at a given distance and percentage of viewers. This concerns look-and-feel (visual presentation) and usability (readability/legibility for users). No indication of functional behavior, performance, security, etc.",18,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,True,0.88,"Requirement concerns how projected data should be presented and perceived (readability/clarity at a distance), which pertains to look-and-feel and usability. No functional behavior or other quality attributes are specified.",19,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,True,False,0.88,"Requirement specifies that only authorized users may access the product and the system must distinguish authorized vs unauthorized on all access attempts — this is primarily a security requirement (authentication/authorization). It also implies a functional behavior (enforcing access control), so both SE and F are set.",20,gpt-5-mini,
False,True,False,False,False,False,False,False,False,False,False,False,0.9,"Requirement specifies system availability percentage and timeframe (99% during first six months / available during business hours), which is an Availability non-functional requirement. It does not explicitly address fault tolerance, performance, security, or other categories.",21,gpt-5-mini,
False,False,False,False,False,False,False,True,False,False,False,False,0.9,"The requirement explicitly concerns responsiveness and keeping display data up-to-date, which is a performance (latency/response time) concern. It does not address functionality, availability, scalability, security, usability, or other listed qualities.",22,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional capability (an MDI form for viewing graph and data table). It does not state availability, performance, security, look-and-feel details, or other non-functional qualities.",23,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional behavior (display Events in a vertical table by time). It does not state availability, performance, UI aesthetics beyond basic layout, or other non-functional concerns.",24,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a system behavior (display events in a time-based graph), which is a functional requirement. It does not mention quality attributes like performance, usability, security, etc.",25,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.95,"This is a functional requirement specifying that the system shall display Events or Activities. It does not mention availability, performance, usability, security, or other non-functional aspects.",26,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.92,"The requirement specifies intuitiveness and a measurable usability goal (90% of new users can start Events/Activities within 90 minutes), which is a clear usability (user experience/learnability) requirement. It does not describe functional behavior, performance, security, or other quality attributes.",27,gpt-5-mini,
False,False,False,False,False,False,False,True,False,True,False,False,0.88,Specifies capacity for current and anticipated user growth (scalability). Also implies performance/throughput requirements to handle that load.,28,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.95,"This requirement specifies a system capability (allowing a real estate agent to query MLS information), which is functional behavior. It does not mention availability, performance, security, or other non-functional aspects.",29,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.9,"Specifies ease of use/installability by an untrained realtor without printed instructions, which is a usability requirement.",30,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.92,Specifies a usability target: percentage of untrained users able to install without printed instructions. No functional behavior or other quality attributes are mentioned.,31,gpt-5-mini,
